Taxon,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
Crocodylus porosus,HK,FR,AU,,2,leather products (large),,T,R
Crocodylus porosus,HK,FR,AU,337,234.49,leather products (small),,T,C
Crocodylus porosus,HK,FR,AU,369,267.82,leather products (small),,T,R
Crocodylus porosus,HK,FR,AU,27,,skins,,T,C
Crocodylus porosus,HK,FR,AU,181,1,skins,,T,R
Crocodylus porosus,HK,FR,AU,,4,skin pieces,,T,C
Crocodylus porosus,HK,FR,AU,9,32.57,skin pieces,,T,R
Crocodylus porosus,HK,FR,ID,9,5,leather products (small),,T,C
Crocodylus porosus,HK,FR,ID,62,,skins,,T,C
Crocodylus porosus,HK,FR,ID,105,104,skins,,T,R
Crocodylus porosus,HK,FR,PG,4,4,garments,,T,C
Crocodylus porosus,HK,FR,PG,,1,leather products (large),,T,C
Crocodylus porosus,HK,FR,PG,93,56.5,leather products (small),,T,C
Crocodylus porosus,HK,FR,PG,2,,leather products (small),,T,R
Crocodylus porosus,HK,FR,PG,9,7.33,leather products (small),,T,W
Crocodylus porosus,HK,FR,PG,23,1,skins,,T,C
Crocodylus porosus,HK,FR,PG,9,,skins,,T,W
Crocodylus porosus,HK,FR,TH,,18,skins,,T,D
Crocodylus porosus,HK,GB,AU,2,,leather products (small),,T,C
Crocodylus porosus,HK,GB,AU,9,,leather products (small),,T,R
Crocodylus porosus,HK,GB,PG,18,,leather products (small),,T,C
Crocodylus porosus,HK,ID,,42,42,leather products (small),,T,C
Crocodylus porosus,HK,ID,,9000,,meat,kg,T,C
Crocodylus porosus,HK,ID,,,6000,meat,,T,C
Crocodylus porosus,HK,IT,AU,12,,garments,,T,R
Crocodylus porosus,HK,IT,AU,21,,jewellery,,T,C
Crocodylus porosus,HK,IT,AU,14,,jewellery,,T,R
Crocodylus porosus,HK,IT,AU,,1,leather products (large),,P,R
Crocodylus porosus,HK,IT,AU,,4,leather products (small),,P,R
Crocodylus porosus,HK,IT,AU,36,,leather products (small),,T,C
Crocodylus porosus,HK,IT,AU,105,,leather products (small),,T,R
Crocodylus porosus,HK,IT,AU,3,,leather products (small),,T,W
Crocodylus porosus,HK,IT,AU,31,,skins,,T,R
Crocodylus porosus,HK,IT,AU,1,,skin pieces,,T,C
Crocodylus porosus,HK,IT,ID,1,,garments,,T,C
Crocodylus porosus,HK,IT,ID,4,,leather products (large),,T,C
Crocodylus porosus,HK,IT,PG,2,,jewellery,,T,C
Crocodylus porosus,HK,IT,PG,2,,leather products (large),,T,W
Crocodylus porosus,HK,IT,PG,2,,leather products (small),,T,C
Crocodylus porosus,HK,JP,AU,2,2,leather products (small),,T,R
Crocodylus porosus,HK,JP,AU,1,1,skins,,T,C
Crocodylus porosus,HK,JP,PG,6,6,leather products (small),,T,C
Crocodylus porosus,HK,JP,PG,518,531,skins,,T,C
Crocodylus porosus,HK,KR,AU,5,,leather products (small),,T,C
Crocodylus porosus,HK,KR,AU,2,,leather products (small),,T,R
Crocodylus porosus,HK,KR,AU,1,,leather products (small),,T,W
Crocodylus porosus,HK,KR,PG,2,,leather products (small),,T,C
Crocodylus porosus,HK,KR,VN,1,,leather products (small),,T,C
Crocodylus porosus,HK,MC,AU,1,,garments,,T,C
Crocodylus porosus,HK,MC,PG,2,,leather products (small),,T,C
Crocodylus porosus,HK,SG,AU,3,6,leather products (small),,T,C
Crocodylus porosus,HK,SG,AU,7,7,leather products (small),,T,R
Crocodylus porosus,HK,SG,AU,13,69,skins,,T,C
Crocodylus porosus,HK,SG,AU,55,4,skins,,T,R
Crocodylus porosus,HK,SG,ID,1,,garments,,T,R
Crocodylus porosus,HK,SG,ID,,1,leather products (large),,T,R
Crocodylus porosus,HK,SG,ID,3,3,skins,,T,C
Crocodylus porosus,HK,SG,ID,2,2,skins,,T,R
Crocodylus porosus,HK,SG,PG,5,5,leather products (small),,T,C
Crocodylus porosus,HK,SG,PG,,1,skins,,T,C
Crocodylus porosus,HK,SG,PG,10,11,skins,,T,W
Crocodylus porosus,HK,TH,AU,477,,skins,,T,R
Crocodylus porosus,HK,TR,ID,26,26,skins,,T,C
Crocodylus porosus,HK,US,AU,1,1,garments,,T,C
Crocodylus porosus,HK,US,AU,,1,leather products (large),,T,C
Crocodylus porosus,HK,US,AU,1,,leather products (small),,T,C
Crocodylus porosus,HK,US,PG,1,1,leather products (small),,T,C
Crocodylus porosus,HN,IT,AU,,1,leather products (small),,P,R
Crocodylus porosus,ID,ES,AU,,3,leather products (small),,T,R
Crocodylus porosus,ID,ES,PG,,2,leather products (small),,T,C
Crocodylus porosus,ID,FR,AU,,46,leather products (small),,T,C
Crocodylus porosus,ID,FR,AU,,71,leather products (small),,T,R
Crocodylus porosus,ID,FR,AU,,4,skin pieces,,T,R
Crocodylus porosus,ID,FR,ID,,2,leather products (small),,T,C
Crocodylus porosus,ID,FR,PG,,10,leather products (small),,T,C
Crocodylus porosus,ID,FR,PG,,1,leather products (small),,T,W
Crocodylus porosus,ID,HK,AU,,1,leather products (small),,T,C
Crocodylus porosus,ID,IT,AU,,1,leather products (large),,P,R
Crocodylus porosus,ID,IT,AU,,5,leather products (small),,P,C
Crocodylus porosus,ID,IT,AU,,9,leather products (small),,P,R
Crocodylus porosus,ID,JP,AU,,1,leather products (small),,P,R
Crocodylus porosus,ID,JP,PG,,1,leather products (small),,P,W
Crocodylus porosus,ID,LU,AU,,2,leather products (small),,T,R
Crocodylus porosus,ID,MC,AU,,1,leather products (small),,P,C
Crocodylus porosus,ID,SG,AU,,11,leather products (small),,T,C
Crocodylus porosus,ID,SG,AU,,7,leather products (small),,T,R
Crocodylus porosus,ID,SG,AU,,19.64,skin pieces,kg,T,R
Crocodylus porosus,ID,SG,AU,,6,skin pieces,,T,R
Crocodylus porosus,IE,MC,AU,,1,leather products (small),,P,C
Crocodylus porosus,IL,JP,ID,,1,leather products (small),,T,R
Crocodylus porosus,IL,MC,AU,,1,leather products (small),,P,C
Crocodylus porosus,IN,IT,AU,,1,leather products (small),,P,C
Crocodylus porosus,IQ,FR,PG,,18,leather products (small),,T,C
Crocodylus porosus,IR,FR,AU,,1,leather products (small),,T,C
Crocodylus porosus,IR,FR,AU,,1,leather products (small),,T,R
Crocodylus porosus,IR,IT,AU,,2,leather products (small),,P,R
Crocodylus porosus,IT,AE,ID,1,1,leather products (small),,T,W
Crocodylus porosus,IT,AE,PG,1,2,leather products (small),,T,W
Crocodylus porosus,IT,AU,,696,,skins,,T,R
Crocodylus porosus,IT,CH,AU,1,,leather products (small),,T,C
Crocodylus porosus,IT,CH,AU,8,,leather products (small),,T,R
Crocodylus porosus,IT,CH,PG,1,,leather products (large),,T,W
Crocodylus porosus,IT,CH,PG,1,,leather products (small),,T,C
Crocodylus porosus,IT,CN,AU,1,,leather products (small),,T,C
Crocodylus porosus,IT,CN,AU,1,,leather products (small),,T,R
Crocodylus porosus,IT,CN,AU,2,,leather products (small),,T,W
Crocodylus porosus,IT,CN,ID,1,,leather products (small),,T,C
Crocodylus porosus,IT,HK,AU,,2,leather products (small),,T,R
Crocodylus porosus,IT,ID,,206,193,skins,,T,C
Crocodylus porosus,IT,ID,,,20,skins,,T,R
Crocodylus porosus,IT,JP,AU,2,2,leather products (small),,T,C
Crocodylus porosus,IT,JP,AU,7,11,leather products (small),,T,R
Crocodylus porosus,IT,JP,ID,,5,leather products (small),,T,C
Crocodylus porosus,IT,JP,ID,11,11,leather products (small),,T,R
Crocodylus porosus,IT,JP,PG,6,6,leather products (small),,T,C
Crocodylus porosus,IT,KR,AU,4,,leather products (small),,T,R
Crocodylus porosus,IT,KR,ID,1,,leather products (small),,T,C
Crocodylus porosus,IT,KW,AU,3,,leather products (small),,T,R
Crocodylus porosus,IT,KW,PG,3,,leather products (small),,T,C
Crocodylus porosus,IT,QA,AU,,1,leather products (small),,T,C
Crocodylus porosus,IT,QA,AU,1,1,leather products (small),,T,R
Crocodylus porosus,IT,SG,AU,96,96,skins,,T,C
Crocodylus porosus,IT,SG,AU,542,542,skins,,T,R
Crocodylus porosus,IT,SG,ID,14,14,skins,,T,C
Crocodylus porosus,IT,SG,ID,259,406,skins,,T,R
Crocodylus porosus,IT,SG,PG,112,127,skins,,T,W
Crocodylus porosus,IT,TH,AU,58,,skins,,T,R
Crocodylus porosus,IT,US,AU,1,3,leather products (small),,T,R
Crocodylus porosus,IT,US,AU,,4,skin pieces,,T,R
Crocodylus porosus,IT,VN,AU,2,,leather products (small),,T,R
Crocodylus porosus,JP,AU,,530,,meat,g,T,R
Crocodylus porosus,JP,AU,,13200,,meat,kg,T,C
Crocodylus porosus,JP,AU,,183.13,,meat,kg,T,R
Crocodylus porosus,JP,AU,,52,,skins,,T,C
Crocodylus porosus,JP,AU,,2662,,skins,,T,R
Crocodylus porosus,JP,BE,AU,3,,leather products (small),,T,R
Crocodylus porosus,JP,BE,AU,,3,leather products (small),,,
Crocodylus porosus,JP,BE,PG,3,,leather products (small),,T,C
Crocodylus porosus,JP,BE,PG,,3,leather products (small),,,
Crocodylus porosus,JP,BE,XV,,7,leather products (small),,,
Crocodylus porosus,JP,CA,AU,14,,leather products (small),,T,C
Crocodylus porosus,JP,CH,AU,73,,leather products (small),,T,C
Crocodylus porosus,JP,CH,AU,4,,leather products (small),,T,R
Crocodylus porosus,JP,CH,ID,2,,leather products (small),,T,C
Crocodylus porosus,JP,CH,PG,8,,leather products (small),,T,W
Crocodylus porosus,JP,CN,AU,,1,garments,,T,R
Crocodylus porosus,JP,CN,AU,,2,leather products (small),,T,R
Crocodylus porosus,JP,CN,AU,,2,skins,,T,R
Crocodylus porosus,JP,DE,PG,9,9,skins,,T,C
Crocodylus porosus,JP,FR,AU,,1,garments,,T,C
Crocodylus porosus,JP,FR,AU,,3,garments,,T,R
Crocodylus porosus,JP,FR,AU,,1,leather products (large),,T,R
Crocodylus porosus,JP,FR,AU,95,68,leather products (small),,T,C
Crocodylus porosus,JP,FR,AU,355.5,246.41,leather products (small),,T,R
Crocodylus porosus,JP,FR,AU,3,,skeletons,,T,R
Crocodylus porosus,JP,FR,AU,451,471,skins,,T,C
Crocodylus porosus,JP,FR,AU,2061,2049,skins,,T,R
Crocodylus porosus,JP,FR,AU,4,4,skin pieces,,T,C
Crocodylus porosus,JP,FR,AU,22.2,22.14,skin pieces,,T,R
Crocodylus porosus,JP,FR,ID,4,4,leather products (small),,T,C
Crocodylus porosus,JP,FR,ID,3,1,leather products (small),,T,R
Crocodylus porosus,JP,FR,PG,1,1,garments,,T,C
Crocodylus porosus,JP,FR,PG,,1,leather products (large),,T,C
Crocodylus porosus,JP,FR,PG,42.5,39,leather products (small),,T,C
Crocodylus porosus,JP,FR,PG,31,22,leather products (small),,T,W
Crocodylus porosus,JP,FR,PG,301,301,skins,,T,C
Crocodylus porosus,JP,FR,PG,1,1,skins,,T,W
Crocodylus porosus,JP,FR,PG,1,1,skin pieces,,T,C
Crocodylus porosus,JP,FR,PG,1,2,skin pieces,,T,W
Crocodylus porosus,JP,GB,AU,4,2,leather products (small),,T,C
Crocodylus porosus,JP,GB,AU,22,16,leather products (small),,T,R
Crocodylus porosus,JP,GB,PG,34,,leather products (small),,T,C
Crocodylus porosus,JP,GB,PG,1,,leather products (small),,T,W
Crocodylus porosus,JP,HK,PG,,1,leather products (small),,T,W
Crocodylus porosus,JP,HK,PG,10,10,skins,,T,C
Crocodylus porosus,JP,HK,PG,,10,skins,,T,W
Crocodylus porosus,JP,ID,,69,159,leather products (small),,T,C
Crocodylus porosus,JP,ID,,,55,leather products (small),,T,R
Crocodylus porosus,JP,ID,,753,2568,skins,,T,C
Crocodylus porosus,JP,ID,,120,75,skins,,T,R
Crocodylus porosus,JP,IT,AU,,2,leather products (small),,P,C
Crocodylus porosus,JP,IT,AU,,1,leather products (small),,P,R
Crocodylus porosus,JP,IT,AU,267.5,318,leather products (small),,T,C
Crocodylus porosus,JP,IT,AU,163,93,leather products (small),,T,R
Crocodylus porosus,JP,IT,AU,2,,skins,,T,C
Crocodylus porosus,JP,IT,AU,15,1,skins,,T,R
Crocodylus porosus,JP,IT,ID,48,71,leather products (small),,T,C
Crocodylus porosus,JP,IT,ID,68,41,leather products (small),,T,R
Crocodylus porosus,JP,IT,ID,7,7,leather products (small),,T,W
Crocodylus porosus,JP,IT,ID,,10,skins,,T,C
Crocodylus porosus,JP,IT,PG,1,1,leather products (large),,T,W
Crocodylus porosus,JP,IT,PG,,1,leather products (small),,P,C
Crocodylus porosus,JP,IT,PG,,1,leather products (small),,P,W
Crocodylus porosus,JP,IT,PG,12,12,leather products (small),,T,C
Crocodylus porosus,JP,IT,PG,2,2,leather products (small),,T,W
Crocodylus porosus,JP,IT,PG,1,,skins,,T,C
Crocodylus porosus,JP,KR,PG,68,,leather products (small),,T,C
Crocodylus porosus,JP,PG,,2241,,skins,,T,C
Crocodylus porosus,JP,PG,,2007,,skins,,T,W
Crocodylus porosus,JP,PG,,170,,skins,,T,
Crocodylus porosus,JP,SG,AU,1,2,leather products (large),,T,C
Crocodylus porosus,JP,SG,AU,2,3,leather products (large),,T,R
Crocodylus porosus,JP,SG,AU,76,67,leather products (small),,T,C
Crocodylus porosus,JP,SG,AU,73,83,leather products (small),,T,R
Crocodylus porosus,JP,SG,AU,33,33,skins,,T,C
Crocodylus porosus,JP,SG,ID,17,47,skins,,T,C
Crocodylus porosus,JP,SG,PG,3,3,leather products (small),,T,C
Crocodylus porosus,JP,SG,PG,1,1,leather products (small),,T,W
Crocodylus porosus,JP,SG,PG,168,341,skins,,T,W
Crocodylus porosus,JP,VN,ID,20,,leather products (small),,T,R
Crocodylus porosus,JP,VN,JP,13,,leather products (small),,T,R
Crocodylus porosus,KG,FR,PG,,2,leather products (small),,T,W
Crocodylus porosus,KH,FR,AU,,2,leather products (small),,T,R
Crocodylus porosus,KH,GB,AU,,1,leather products (small),,T,R
Crocodylus porosus,KH,GB,PG,,2,leather products (small),,T,C
Crocodylus porosus,KH,IT,ID,,1,leather products (small),,P,C
Crocodylus porosus,KH,MC,AU,,1,leather products (small),,P,C
Crocodylus porosus,KR,BE,AU,,4,leather products (small),,,
Crocodylus porosus,KR,BE,PG,,1,leather products (small),,,
Crocodylus porosus,KR,ES,AU,,411,skins,,T,C
Crocodylus porosus,KR,ES,AU,,404,skins,,T,R
Crocodylus porosus,KR,ES,AU,,3,skins,,T,W
Crocodylus porosus,KR,ES,ID,,1,skins,,T,C
Crocodylus porosus,KR,ES,ID,,1,skins,,T,R
Crocodylus porosus,KR,ES,PG,,140,skins,,T,C
Crocodylus porosus,KR,ES,PG,,38,skins,,T,W
Crocodylus porosus,KR,FR,AU,,32,leather products (small),,T,C
Crocodylus porosus,KR,FR,AU,,96.17,leather products (small),,T,R
Crocodylus porosus,KR,FR,AU,,39,skins,,T,C
Crocodylus porosus,KR,FR,AU,,114,skins,,T,R
Crocodylus porosus,KR,FR,AU,,35.14,skin pieces,,T,R
Crocodylus porosus,KR,FR,ID,,4,leather products (small),,T,C
Crocodylus porosus,KR,FR,ID,,7,skins,,T,C
Crocodylus porosus,KR,FR,ID,,2,skins,,T,R
Crocodylus porosus,KR,FR,PG,,33,leather products (small),,T,C
Crocodylus porosus,KR,FR,PG,,13,leather products (small),,T,W
Crocodylus porosus,KR,FR,PG,,27,skins,,T,C
Crocodylus porosus,KR,FR,PG,,1,skins,,T,W
Crocodylus porosus,KR,FR,PG,,8,skin pieces,,T,C
Crocodylus porosus,KR,GB,PG,,1,leather products (small),,T,C
Crocodylus porosus,KR,HK,AU,,13,leather products (small),,T,C
Crocodylus porosus,KR,HK,PG,,1,leather products (small),,T,C
Crocodylus porosus,KR,ID,,,35,skins,,T,C
Crocodylus porosus,KR,IT,AU,,1,garments,,T,C
Crocodylus porosus,KR,IT,AU,,1,garments,,T,R
Crocodylus porosus,KR,IT,AU,,1,leather products (large),,T,R
Crocodylus porosus,KR,IT,AU,,5,leather products (small),,P,R
Crocodylus porosus,KR,IT,AU,,427,leather products (small),,T,C
Crocodylus porosus,KR,IT,AU,,12,leather products (small),,T,R
Crocodylus porosus,KR,IT,AU,,8,skin pieces,,T,C
Crocodylus porosus,KR,IT,ID,,2,leather products (large),,T,R
Crocodylus porosus,KR,IT,ID,,8,leather products (small),,T,C
Crocodylus porosus,KR,IT,ID,,8,leather products (small),,T,R
Crocodylus porosus,KR,IT,PG,,2,leather products (small),,T,C
Crocodylus porosus,KR,IT,PG,,2,leather products (small),,T,W
Crocodylus porosus,KR,JP,PG,,1331,skins,,T,C
Crocodylus porosus,KR,JP,PG,,2,skins,,T,W
Crocodylus porosus,KR,LU,AU,,1,leather products (small),,T,R
Crocodylus porosus,KR,MO,AU,,1,leather products (small),,T,R
Crocodylus porosus,KR,SG,AU,,2,jewellery,,T,C
Crocodylus porosus,KR,SG,AU,,18,leather products (small),,T,C
Crocodylus porosus,KR,SG,AU,,8,leather products (small),,T,R
Crocodylus porosus,KR,SG,AU,,30,skins,,T,C
Crocodylus porosus,KR,SG,ID,,2,leather products (small),,T,C
Crocodylus porosus,KR,SG,ID,,15,skins,,T,C
Crocodylus porosus,KR,SG,PG,,2,leather products (small),,T,C
Crocodylus porosus,KR,SG,PG,,5,leather products (small),,T,W
Crocodylus porosus,KR,SG,PG,,50,skins,,T,W
Crocodylus porosus,KW,FR,AU,,6,leather products (small),,T,R
Crocodylus porosus,KW,FR,PG,,1,leather products (small),,T,C
Crocodylus porosus,KW,IT,AU,,3,leather products (small),,T,R
Crocodylus porosus,KW,MC,ID,,1,leather products (small),,P,C
Crocodylus porosus,KZ,FR,AU,,87,leather products (small),,T,R
Crocodylus porosus,KZ,FR,AU,,4,skin pieces,,T,R
Crocodylus porosus,KZ,FR,PG,,15,leather products (small),,T,C
Crocodylus porosus,KZ,IT,AU,,1,leather products (large),,T,R
Crocodylus porosus,KZ,IT,AU,,4,leather products (small),,P,R
Crocodylus porosus,KZ,IT,AU,,1,leather products (small),,P,W
Crocodylus porosus,KZ,IT,AU,,2,leather products (small),,T,C
Crocodylus porosus,KZ,IT,AU,,7,leather products (small),,T,R
Crocodylus porosus,KZ,IT,PG,,1,leather products (small),,T,W
Crocodylus porosus,LB,FR,AU,,11,leather products (small),,T,C
Crocodylus porosus,LB,FR,AU,,7,leather products (small),,T,R
Crocodylus porosus,LB,FR,PG,,5,leather products (small),,T,C
Crocodylus porosus,LB,FR,PG,,1,leather products (small),,T,W
Crocodylus porosus,LB,GB,PG,,1,leather products (small),,T,C
Crocodylus porosus,LB,IT,AU,,1,skins,,T,C
Crocodylus porosus,LB,IT,AU,,4,skins,,T,R
Crocodylus porosus,LB,LU,AU,,1,leather products (small),,T,R
Crocodylus porosus,MA,FR,AU,,1,garments,,T,R
Crocodylus porosus,MC,FR,AU,1,1,garments,,T,C
Crocodylus porosus,MC,FR,AU,57,50.5,leather products (small),,T,C
Crocodylus porosus,MC,FR,AU,114,105.5,leather products (small),,T,R
Crocodylus porosus,MC,FR,AU,1,1,leather products (small),,T,W
Crocodylus porosus,MC,FR,AU,4,4,skin pieces,,T,R
Crocodylus porosus,MC,FR,ID,45,,leather products (small),,T,C
Crocodylus porosus,MC,FR,PG,23,22,leather products (small),,T,C
Crocodylus porosus,MC,FR,PG,5,2,leather products (small),,T,W
Crocodylus porosus,MC,IT,AU,,1,leather products (large),,T,C
Crocodylus porosus,MC,IT,AU,,3,leather products (small),,P,R
Crocodylus porosus,MC,IT,AU,3,26,leather products (small),,T,C
Crocodylus porosus,MC,IT,AU,3,5,leather products (small),,T,R
Crocodylus porosus,MC,IT,ID,1,1,leather products (small),,T,C
Crocodylus porosus,MC,IT,PG,1,1,leather products (small),,T,C
Crocodylus porosus,MG,FR,AU,2,2,skins,,T,R
Crocodylus porosus,MG,FR,PG,1,2,skins,,T,C
Crocodylus porosus,MG,FR,US,1,,skins,,T,C
Crocodylus porosus,MM,HK,AU,,1,leather products (small),,T,R
Crocodylus porosus,MO,FR,AU,1,1,garments,,T,R
Crocodylus porosus,MO,FR,AU,57,13,leather products (small),,T,C
Crocodylus porosus,MO,FR,AU,202,78.19,leather products (small),,T,R
Crocodylus porosus,MO,FR,AU,24,,skins,,T,R
Crocodylus porosus,MO,FR,AU,,12.57,skin pieces,,T,R
Crocodylus porosus,MO,FR,ID,5,1,leather products (small),,T,C
Crocodylus porosus,MO,FR,PG,4,4,garments,,T,C
Crocodylus porosus,MO,FR,PG,66,7.5,leather products (small),,T,C
Crocodylus porosus,MO,FR,PG,21,1,leather products (small),,T,W
Crocodylus porosus,MO,IT,AU,10,,garments,,T,C
Crocodylus porosus,MO,IT,AU,,1,leather products (small),,P,R
Crocodylus porosus,MO,IT,AU,3,,leather products (small),,T,C
Crocodylus porosus,MO,IT,ID,20,,leather products (small),,T,C
Crocodylus porosus,MO,IT,PG,1,,leather products (small),,T,C
Crocodylus porosus,MP,SG,AU,,5,leather products (small),,T,C
Crocodylus porosus,MX,FR,AU,,2,garments,,T,C
Crocodylus porosus,MX,FR,AU,,6,leather products (small),,T,C
Crocodylus porosus,MX,FR,AU,,25,leather products (small),,T,R
Crocodylus porosus,MX,FR,AU,,4,skin pieces,,T,R
Crocodylus porosus,MX,FR,ID,,2,leather products (small),,T,C
Crocodylus porosus,MX,FR,PG,,9,leather products (small),,T,C
Crocodylus porosus,MX,MC,AU,,2,leather products (small),,P,R
Crocodylus porosus,MY,AE,PH,,1,leather products (small),,P,D
Crocodylus porosus,MY,AU,,1300,,meat,kg,T,C
Crocodylus porosus,MY,CH,AU,127,,leather products (small),,T,C
Crocodylus porosus,MY,DE,AU,,2,leather products (small),,T,R
Crocodylus porosus,MY,FR,AU,11,10,leather products (small),,T,C
Crocodylus porosus,MY,FR,AU,34,27,leather products (small),,T,R
Crocodylus porosus,MY,FR,AU,,4.14,skin pieces,,T,R
Crocodylus porosus,MY,FR,PG,14,9.33,leather products (small),,T,C
Crocodylus porosus,MY,FR,TH,3,,leather products (small),,T,D
Crocodylus porosus,MY,HK,AU,,2,leather products (small),,T,R
Crocodylus porosus,MY,IT,AU,,1,leather products (small),,P,C
Crocodylus porosus,MY,IT,AU,,5,leather products (small),,P,R
Crocodylus porosus,MY,SG,AU,8,50,leather products (small),,T,C
Crocodylus porosus,MY,SG,AU,5,4,leather products (small),,T,R
Crocodylus porosus,MY,SG,AU,1299,,skins,,T,C
Crocodylus porosus,MY,SG,AU,,2200,skin pieces,,T,C
Crocodylus porosus,MY,SG,PG,1,1,leather products (small),,T,C
Crocodylus porosus,MY,SG,US,100,,skins,,T,C
Crocodylus porosus,NG,IT,AU,,11,garments,,T,R
Crocodylus porosus,NL,CH,AU,9,,leather products (small),,T,C
Crocodylus porosus,NO,CH,AU,1,,leather products (small),,T,C
Crocodylus porosus,NO,FR,AU,,1,leather products (small),,T,C
Crocodylus porosus,NO,FR,AU,,4,leather products (small),,T,R
Crocodylus porosus,NO,FR,PG,,2,leather products (small),,T,C
Crocodylus porosus,NO,IT,AU,,24,leather products (small),,T,R
Crocodylus porosus,NZ,AU,,4,,bodies,,P,R
Crocodylus porosus,NZ,AU,,1,,bodies,,P,W
Crocodylus porosus,NZ,AU,,2,,leather products (small),,P,C
Crocodylus porosus,NZ,AU,,7,,leather products (small),,P,R
Crocodylus porosus,NZ,AU,,3,,leather products (small),,P,W
Crocodylus porosus,NZ,AU,,5,,leather products (small),,T,R
Crocodylus porosus,NZ,AU,,700,,meat,kg,T,C
Crocodylus porosus,NZ,AU,,5,,meat,,P,R
Crocodylus porosus,NZ,AU,,32,,skins,,T,R
Crocodylus porosus,NZ,AU,,2,,skulls,,P,R
Crocodylus porosus,NZ,AU,,1,,skulls,,T,R
Crocodylus porosus,OM,FR,AU,,1.99,leather products (small),,T,R
Crocodylus porosus,PA,FR,PG,,1,leather products (small),,T,C
Crocodylus porosus,PA,MC,AU,,1,leather products (small),,P,R
Crocodylus porosus,PG,JP,PG,,1081,leather products (small),,T,C
Crocodylus porosus,PH,IT,AU,,2,leather products (small),,P,C
Crocodylus porosus,PH,IT,AU,,1,leather products (small),,P,R
Crocodylus porosus,PH,JP,PG,,1,leather products (small),,T,C
Crocodylus porosus,PH,SG,AU,5,5,leather products (small),,T,C
Crocodylus porosus,PH,SG,AU,1,1,leather products (small),,T,R
Crocodylus porosus,PH,SG,PG,1,1,leather products (small),,T,C
Crocodylus porosus,PK,IT,AU,,1,leather products (small),,P,C
Crocodylus porosus,PY,IT,AU,,3,leather products (small),,P,R
Crocodylus porosus,PY,JP,PG,,2,leather products (small),,T,C
Crocodylus porosus,QA,FR,AU,,1,garments,,T,R
Crocodylus porosus,QA,FR,AU,10,3.66,leather products (small),,T,C
Crocodylus porosus,QA,FR,AU,26,40.84,leather products (small),,T,R
Crocodylus porosus,QA,FR,CO,6,,leather products (small),,T,C
Crocodylus porosus,QA,FR,CO,2,,leather products (small),,T,R
Crocodylus porosus,QA,FR,MY,1,,leather products (small),,T,D
Crocodylus porosus,QA,FR,PG,11,12.64,leather products (small),,T,C
Crocodylus porosus,QA,FR,PG,1,,leather products (small),,T,R
Crocodylus porosus,QA,FR,PG,,1,leather products (small),,T,W
Crocodylus porosus,QA,FR,TH,2,,leather products (small),,T,D
Crocodylus porosus,QA,FR,US,1,,leather products (small),,T,C
Crocodylus porosus,QA,FR,US,1,,leather products (small),,T,W
Crocodylus porosus,QA,GB,AU,,1,leather products (small),,T,R
Crocodylus porosus,QA,GB,PG,,4,leather products (small),,T,C
Crocodylus porosus,QA,IT,AU,,2,leather products (small),,P,C
Crocodylus porosus,QA,IT,AU,,3,leather products (small),,P,R
Crocodylus porosus,QA,IT,AU,,20,leather products (small),,T,R
Crocodylus porosus,QA,IT,PG,,1,leather products (small),,T,W
Crocodylus porosus,QA,MC,ID,,1,leather products (small),,P,C
Crocodylus porosus,RO,AU,,64,,leather products (small),,T,R
Crocodylus porosus,RU,CZ,AU,,1,leather products (small),,T,C
Crocodylus porosus,RU,FR,AU,,7.5,garments,,T,R
Crocodylus porosus,RU,FR,AU,,13,leather products (small),,T,C
Crocodylus porosus,RU,FR,AU,,36,leather products (small),,T,R
Crocodylus porosus,RU,FR,AU,,8,skin pieces,,T,R
Crocodylus porosus,RU,FR,PG,,11.5,garments,,T,C
Crocodylus porosus,RU,FR,PG,,199,leather products (small),,T,C
Crocodylus porosus,RU,FR,PG,,6,leather products (small),,T,W
Crocodylus porosus,RU,GB,AU,,2,leather products (small),,T,R
Crocodylus porosus,RU,IT,AU,,10,garments,,T,C
Crocodylus porosus,RU,IT,AU,,23,garments,,T,R
Crocodylus porosus,RU,IT,AU,,4,garments,,T,W
Crocodylus porosus,RU,IT,AU,,6,leather products (large),,T,C
Crocodylus porosus,RU,IT,AU,,8,leather products (large),,T,R
Crocodylus porosus,RU,IT,AU,,3,leather products (small),,P,C
Crocodylus porosus,RU,IT,AU,,19,leather products (small),,P,R
Crocodylus porosus,RU,IT,AU,,2,leather products (small),,P,W
Crocodylus porosus,RU,IT,AU,,36,leather products (small),,T,C
Crocodylus porosus,RU,IT,AU,,431,leather products (small),,T,R
Crocodylus porosus,RU,IT,AU,,2,leather products (small),,T,W
Crocodylus porosus,RU,IT,ID,,12,garments,,T,C
Crocodylus porosus,RU,IT,ID,,4,leather products (small),,P,C
Crocodylus porosus,RU,IT,ID,,2,leather products (small),,T,C
Crocodylus porosus,RU,IT,PG,,1,garments,,P,W
Crocodylus porosus,RU,IT,PG,,20,garments,,T,W
Crocodylus porosus,RU,IT,PG,,2,leather products (small),,P,C
Crocodylus porosus,RU,IT,PG,,1,leather products (small),,P,W
Crocodylus porosus,RU,IT,PG,,21,leather products (small),,T,C
Crocodylus porosus,RU,IT,PG,,1,leather products (small),,T,W
Crocodylus porosus,RU,MC,AU,,5,leather products (small),,P,C
