Taxon,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
Crocodylus porosus,BR,IT,AU,,4,leather products (small),,T,C
Crocodylus porosus,BR,IT,AU,,3,leather products (small),,T,R
Crocodylus porosus,BY,IT,ID,,1,leather products (small),,P,C
Crocodylus porosus,BY,MC,PG,,1,leather products (small),,P,W
Crocodylus porosus,CA,BE,AU,,4,leather products (small),,,
Crocodylus porosus,CA,BE,XV,,1,leather products (small),,,
Crocodylus porosus,CA,FR,AU,,25,leather products (small),,T,C
Crocodylus porosus,CA,FR,AU,,94.2,leather products (small),,T,R
Crocodylus porosus,CA,FR,AU,,16,skin pieces,,T,R
Crocodylus porosus,CA,FR,ID,,2,leather products (small),,T,C
Crocodylus porosus,CA,FR,PG,,22.5,leather products (small),,T,C
Crocodylus porosus,CA,FR,PG,,1,leather products (small),,T,W
Crocodylus porosus,CA,GB,AU,,1,leather products (small),,T,R
Crocodylus porosus,CA,HK,ID,,20,meat,kg,T,C
Crocodylus porosus,CA,IT,AU,,2,leather products (large),,P,C
Crocodylus porosus,CA,IT,AU,,1,leather products (small),,P,C
Crocodylus porosus,CA,IT,AU,,2,leather products (small),,P,R
Crocodylus porosus,CA,IT,AU,,4,leather products (small),,T,C
Crocodylus porosus,CA,IT,AU,,27,leather products (small),,T,R
Crocodylus porosus,CA,IT,AU,,10,skin pieces,,T,C
Crocodylus porosus,CA,US,AU,,12,leather products (small),,T,C
Crocodylus porosus,CA,US,AU,,7,leather products (small),,T,R
Crocodylus porosus,CA,US,PG,,1,leather products (small),,T,C
Crocodylus porosus,CA,US,PG,,2,leather products (small),,T,W
Crocodylus porosus,CG,FR,PG,,1,leather products (small),,T,C
Crocodylus porosus,CH,AE,AU,,3,leather products (small),,T,C
Crocodylus porosus,CH,AE,AU,,9,leather products (small),,T,R
Crocodylus porosus,CH,AE,ID,,1,leather products (small),,T,C
Crocodylus porosus,CH,AE,PG,,2,leather products (small),,T,W
Crocodylus porosus,CH,AE,VN,,1,leather products (small),,T,C
Crocodylus porosus,CH,ES,AU,,1,leather products (small),,T,C
Crocodylus porosus,CH,FR,AU,,54.16,leather products (small),,T,C
Crocodylus porosus,CH,FR,AU,,140.83,leather products (small),,T,R
Crocodylus porosus,CH,FR,AU,,1,leather products (small),,T,W
Crocodylus porosus,CH,FR,AU,,16,skins,,T,R
Crocodylus porosus,CH,FR,AU,,36,skin pieces,,T,R
Crocodylus porosus,CH,FR,ID,,3.5,leather products (small),,T,C
Crocodylus porosus,CH,FR,PG,,3.5,leather products (large),,T,C
Crocodylus porosus,CH,FR,PG,,0.5,leather products (large),,T,W
Crocodylus porosus,CH,FR,PG,,25.5,leather products (small),,T,C
Crocodylus porosus,CH,FR,PG,,23,leather products (small),,T,W
Crocodylus porosus,CH,GB,AU,,2,leather products (small),,T,R
Crocodylus porosus,CH,GB,PG,,1,leather products (small),,T,C
Crocodylus porosus,CH,HK,AU,,63,leather products (large),,T,C
Crocodylus porosus,CH,HK,PG,,1,leather products (small),,T,C
Crocodylus porosus,CH,IT,AU,,6,garments,,T,R
Crocodylus porosus,CH,IT,AU,,3,leather products (large),,T,C
Crocodylus porosus,CH,IT,AU,,2,leather products (small),,P,C
Crocodylus porosus,CH,IT,AU,,2,leather products (small),,P,R
Crocodylus porosus,CH,IT,AU,,334,leather products (small),,T,C
Crocodylus porosus,CH,IT,AU,,115,leather products (small),,T,R
Crocodylus porosus,CH,IT,AU,,1,skin pieces,,T,R
Crocodylus porosus,CH,IT,ID,,1,leather products (small),,T,C
Crocodylus porosus,CH,IT,ID,,7,skins,,T,R
Crocodylus porosus,CH,IT,PG,,3,leather products (small),,T,C
Crocodylus porosus,CH,IT,PG,,5,leather products (small),,T,W
Crocodylus porosus,CH,JP,AU,,1,leather products (small),,T,C
Crocodylus porosus,CH,JP,ID,,1,leather products (small),,T,R
